tydzien;data;srednia_strefa_granica_UA;srednia_strefa_granica_BY_LT;srednia_strefa_granica_RU;srednia_strefa_granica_MB;srednia_strefa_granica_DE;srednia_strefa_granica_CZ;srednia_strefa_granica_SK;srednia_strefa_centralna;srednia_woj_DS;srednia_woj_KP;srednia_woj_LB;srednia_woj_LS;srednia_woj_LD;srednia_woj_MP;srednia_woj_MZ;srednia_woj_OP;srednia_woj_PK;srednia_woj_PL;srednia_woj_PM;srednia_woj_SL;srednia_woj_SK;srednia_woj_WM;srednia_woj_WP;srednia_woj_ZP
1;01.01.2022;4043;3011;7002;11250;5510;4516;12351;6316;4102;4927;3002;5094;0;12351;0;4947;5170;3011;11250;4341;5448;7002;7754;6898
2;02.01.2022;6907;5333;18192;27802;14243;10569;20490;14744;12126;12967;5221;15021;0;20490;0;11821;8594;5333;27802;4636;13175;18192;16474;12687
2;03.01.2022;9426;7016;12528;22704;13396;10627;24233;17171;11027;11832;7093;14182;0;24233;0;11379;11759;7016;22704;8092;13341;12528;22163;11824
2;04.01.2022;9498;7254;12048;22541;12453;10233;24696;17078;10512;11509;6913;13532;0;24696;0;10738;12282;7254;22541;8404;12543;12048;22193;10296
2;05.01.2022;10258;7584;14837;25563;12246;10690;29356;19917;11102;12944;7570;13175;0;29356;0;11180;13152;7584;25563;8611;15107;14837;25680;10387
2;06.01.2022;5368;5330;13542;18953;10526;7575;17218;11735;9395;9109;4173;11238;0;17218;0;6941;6656;5330;18953;5095;9952;13542;13993;9102
2;07.01.2022;8813;7036;13283;21463;12123;9780;25058;16511;10745;10290;6444;13012;0;25058;0;9650;11365;7036;21463;7943;11488;13283;22032;10346
2;08.01.2022;7936;6957;12123;19607;12435;9387;22598;14557;10932;9324;6021;13805;0;22598;0;9220;9851;6957;19607;6389;10838;12123;19092;9695
3;09.01.2022;7300;5935;17131;25142;14112;10662;22421;15735;12764;11836;5472;15444;0;22421;0;10801;9268;5935;25142;5706;13883;17131;18917;11447
3;10.01.2022;10220;7535;12695;22501;12296;11139;27961;19643;11075;12094;7597;13104;0;27961;0;11849;12842;7535;22501;9578;13985;12695;26247;10678
3;11.01.2022;10015;7935;12386;22994;12203;10808;26705;19246;10775;12085;7536;13477;0;26705;0;11315;12685;7935;22994;9662;13043;12386;25691;9655
3;12.01.2022;9999;8024;12754;23192;12106;10713;26766;19520;10687;12083;7545;13459;0;26766;0;11203;12641;8024;23192;9594;13304;12754;26165;9400
3;13.01.2022;9911;8155;12751;23376;12368;11004;28174;19869;10953;12334;7480;13590;0;28174;0;11499;12528;8155;23376;9931;13735;12751;26565;9926
3;14.01.2022;10573;8741;15171;19617;14390;11959;28875;21435;12133;13427;7818;15645;0;28875;0;12885;13541;8741;19617;9542;14938;15171;28547;11881
3;15.01.2022;7995;7255;9987;12229;11627;8905;22484;14768;10065;9189;6036;12774;0;22484;0;8863;9955;7255;12229;5839;10305;9987;19709;9334
4;16.01.2022;6501;5883;10862;11241;10385;8135;18887;12632;9412;8492;5038;11350;0;18887;0;8230;7963;5883;11241;4343;9359;10862;16290;8456
4;17.01.2022;9744;7897;12473;14723;12434;10805;25174;19143;11060;11848;7283;13514;0;25174;0;11729;12206;7897;14723;7334;13229;12473;25621;10275
4;18.01.2022;10260;8446;12861;15702;12367;10637;25629;19587;11016;12348;8048;13656;0;25629;0;11277;12303;8446;15702;7672;13061;12861;26156;9789
4;19.01.2022;10369;8357;13103;15887;12466;10796;26438;19771;11364;12610;8129;13819;0;26438;0;11369;12436;8357;15887;7515;13379;13103;26255;9762
4;20.01.2022;9748;7640;13244;15273;11843;10366;26960;19553;10657;12463;7381;13230;0;26960;0;11213;12116;7640;15273;7028;13330;13244;25950;9298
4;21.01.2022;10871;7627;15233;17290;14085;11470;27200;21036;12533;13652;8550;15120;0;27200;0;12111;13013;7627;17290;6626;14618;15233;27686;12015
4;22.01.2022;7571;7630;9924;12023;11796;8921;21231;14755;10199;9064;6128;13091;0;21231;0;8915;8903;7630;12023;5418;9797;9924;19882;9207
5;23.01.2022;6292;6071;11605;11457;10442;7960;18692;13101;9543;8894;5274;11345;0;18692;0;7720;7232;6071;11457;4332;9559;11605;16864;8636
5;24.01.2022;9912;8211;12913;15347;12541;11010;26584;19315;11659;12268;7648;13544;0;26584;0;11499;12003;8211;15347;7756;13691;12913;25553;10536
5;25.01.2022;9892;8330;12747;15303;11798;10432;24945;19093;11116;12192;7757;13015;0;24945;0;11049;11862;8330;15303;6698;12920;12747;25346;9364
5;26.01.2022;10070;8261;13041;15481;12255;10572;24611;19364;11356;12386;7968;13543;0;24611;0;11035;12010;8261;15481;7028;13068;13041;25697;9679
5;27.01.2022;10128;8935;13288;15734;12817;10927;26236;19646;11668;12551;7929;14169;0;26236;0;11344;12158;8935;15734;7637;13647;13288;26000;10113
5;28.01.2022;10580;9190;15520;16662;14938;10808;27686;20963;12812;13469;8288;16054;0;27686;0;9776;12695;9190;16662;7881;15033;15520;27586;12706
5;29.01.2022;7673;7345;10629;11063;12035;9247;22647;14412;10558;8730;6082;13409;0;22647;0;9134;9143;7345;11063;5956;13133;10629;18744;9285
6;30.01.2022;5919;5735;11335;9998;10753;7635;18017;12092;8588;8010;4677;11794;0;18017;0;7905;7161;5735;9998;4273;10752;11335;15295;8671
6;31.01.2022;9798;8681;14075;15031;13350;11158;27510;19741;11493;12076;7459;14466;0;27510;0;12023;12137;8681;15031;7860;14745;14075;26530;11118
6;01.02.2022;9908;9067;13027;14783;12483;10162;25183;19323;10151;11722;7611;13739;0;25183;48441;11035;12205;9067;14783;7800;13360;13027;24795;9972
6;02.02.2022;9716;8754;13018;14866;12780;10009;24695;19411;9934;11782;7547;14142;0;24695;41542;11100;11885;8754;14866;7253;13408;13018;25152;10056
6;03.02.2022;10070;9107;14220;15551;13485;11247;26390;20392;11550;12414;7790;14714;0;26390;45751;11634;12351;9107;15551;9102;14454;14220;26249;11025
6;04.02.2022;10892;9462;16869;16833;15184;12387;29125;21569;13100;13226;8270;16283;0;29125;44036;12557;13513;9462;16833;9563;16589;16869;27578;12987
6;05.02.2022;7977;7487;12495;11801;12433;9949;24226;14748;11427;8576;6111;13239;0;24226;32029;9139;9843;7487;11801;7578;15494;12495;18253;10821
7;06.02.2022;6406;6407;13980;10717;11159;8600;19302;12640;9842;8318;5031;11893;0;19302;28608;8420;7782;6407;10717;5105;12565;13980;15085;9693
7;07.02.2022;10036;8970;14077;15139;13348;11174;27087;19738;11453;11931;7628;14397;0;27087;43995;11730;12444;8970;15139;8596;14991;14077;25267;11251
7;08.02.2022;10126;9186;13248;15175;12535;10704;26122;19432;10991;11969;7783;13724;0;26122;44876;11144;12470;9186;15175;8456;13836;13248;24860;10156
7;09.02.2022;10355;9175;14115;15797;13030;11296;26230;19867;12037;12320;7934;14362;0;26230;41192;11468;12776;9175;15797;8745;14341;14115;25481;10365
7;10.02.2022;10610;9414;15093;16724;13800;12175;27925;20985;12916;13002;8026;15080;0;27925;40743;12230;13194;9414;16724;9969;15379;15093;26969;11241
7;11.02.2022;11579;9671;18445;19184;16200;13114;30465;23073;13905;15102;8734;17199;0;30465;47511;13334;14424;9671;19184;10278;17439;18445;28894;14202
