data;tydzien;suma przyjazdu (ogolem);suma wyjazdu (ogolem);suma przyjazdu (Polska);suma wyjazdu (Polska);suma przyjazdu (Ukraina);suma wyjazdu (Ukraina);suma przyjazdu (Niemcy);suma wyjazdu (Niemcy);suma przyjazdu (Stany Zjednoczone);suma wyjazdu (Stany Zjednoczone);suma przyjazdu (Rumunia);suma wyjazdu (Rumunia);suma przyjazdu (Wielka Brytania);suma wyjazdu (Wielka Brytania);suma przyjazdu (Moldawia);suma wyjazdu (Moldawia);suma przyjazdu (inne);suma wyjazdu (inne);suma przyjazdu (oddzial Nadbuzanski);suma wyjazdu (oddzial Nadbuzanski);suma przyjazdu (oddzial Bieszczadzki);suma wyjazdu (oddzial Bieszczadzki);suma przyjazdu (pg drogowe);suma wyjazdu (pg drogowe);suma przyjazdu (pg kolejowe);suma wyjazdu (pg kolejowe)
01.01.2022;1;3775;3746;372;318;2958;3160;154;50;0;27;58;46;3;2;7;16;223;127;1284;1371;2491;2375;3587;3585;188;161
02.01.2022;2;11093;7418;1238;576;8854;6452;220;104;2;3;165;45;7;8;29;20;578;210;3903;2459;7190;4959;10459;6977;634;441
03.01.2022;2;13530;12080;680;864;12088;10797;201;67;0;2;160;88;8;1;34;35;359;226;4561;3987;8969;8093;13111;11600;419;480
04.01.2022;2;11705;15215;654;975;10507;13811;200;59;0;3;96;86;3;5;42;48;203;228;4382;5717;7323;9498;11394;14803;311;412
05.01.2022;2;9413;17498;703;1311;8149;15597;209;91;0;3;72;150;2;6;43;54;235;286;3790;6554;5623;10944;9016;16977;397;521
06.01.2022;2;5838;9919;457;977;4890;8487;184;62;0;0;65;79;4;5;37;81;201;228;2726;4487;3112;5432;5515;9598;323;321
07.01.2022;2;7276;3721;459;334;5996;3045;296;53;2;3;153;43;10;1;53;77;307;165;2897;1440;4379;2281;6850;3516;426;205
08.01.2022;2;15536;5193;1071;336;12694;4465;469;50;5;0;611;56;11;0;55;80;620;206;5435;1952;10101;3241;14623;4925;913;268
09.01.2022;3;25477;5956;1625;495;22464;5115;244;60;3;2;490;68;4;0;57;27;590;189;9203;2333;16274;3623;24029;5600;1448;356
10.01.2022;3;24366;7077;1240;640;22421;6119;111;30;2;2;199;59;7;0;46;70;340;157;9061;2788;15305;4289;23445;6848;921;229
11.01.2022;3;21615;9943;961;536;19972;8964;80;40;0;1;211;123;4;1;51;118;336;160;8099;4137;13516;5806;20872;9730;743;213
